# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 BankY_max_failures_allowed=1 BankY_sector_A_i0=500 beta=0.02 default_seed=12955 eta=0.0001 FirmsY_A_i0=1.0 FirmsY_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_BankY_deposits_and_networth=0 threshold_BankYrupt=0 w=1.0
  t,BankYL,BankYA,BankYD,BankYPROFITS,BankYBD,FirmsYK,FirmsYA,FirmsYL,FirmsYPROFITS,FirmsYY,FirmsYR,FirmsYI,FirmsYGAMMA,FirmsYU,FirmsYDK,FirmsYOL,FirmsYGAP_OF_L,FirmsYDL,FirmsYFAIL
  0,4238.219165312463,339.05753322499703,3899.161632087466,2.1316282072803006e-13,160.9424667750032,7.143639212684945,337.36716245289733,6.833742898036202,237.3671624528974,7.3259607694788995,0.18573203921568646,528.6601960784313,1.02,1.0423905575862429,1028.6601960784312,6162.4543166930935,0.0,928.6601960784312,36
  1,12436.722033952728,994.9377627162182,11441.78427123651,-32.809565994347494,118.88190891194901,6.856195799502232,516.0828647159689,6.072270716576222,-18.226764511932046,7.038517356296187,0.07308669175635125,-649.7869987870372,1.1260685050980395,0.9039016679404699,622.8651559310601,3848.4931513550778,4.071480776367725,-345.7541025247406,29
  2,14869.280696429933,1189.5424557143947,13679.738240715538,-18.144174416897904,98.40951265109234,7.315725012829855,855.7459274943541,6.473914955175282,191.78115386643668,7.498046569623809,0.1089589551541471,158.47173348114893,1.0445401673809105,0.9931277515536403,1172.209587162623,12234.466804538992,10.727791771622085,334.2039329326437,21
  3,22102.837707294202,1768.2270165835362,20334.610690710666,-29.229653958647503,136.5583036800616,7.511968936930476,1219.523803666794,6.413932583700329,244.36836352134713,7.694290493724431,0.07791483891230341,-286.3173614792629,1.064776650601733,0.967420776453033,1210.929741716751,14448.23953484238,5.455155868149621,-114.00797392405752,25
  4,32447.93813807555,2595.835051046044,29852.103087029507,-35.67599874526668,114.67089155457002,7.789614539785201,1830.8877135331431,6.370754477833828,449.80560618628806,7.971936096579156,0.08315386277998162,-333.5085547863736,1.0512007824366092,1.032462808113501,1510.922354683059,21584.9435471546,13.311337438895507,-338.68628984992426,19
  5,49008.41481017936,3920.673184814349,45087.741625365015,-55.11452177773779,81.39313339013844,7.91862569037528,2227.33576677581,6.255089729751321,262.77716168809616,8.100947247169236,0.04939059446702168,-699.0310494017112,1.061139772198154,0.9655959180616426,1737.999890078738,31729.754408328565,25.305636387673054,-865.061771882676,16
  6,66812.25298567205,5344.980238853765,61467.272746818286,-53.07173233975806,65.23425843156211,8.143187737365373,2597.0870552228816,6.736704459338364,272.3581550569329,8.325509294159328,0.07674892105693007,-677.6767294472429,1.0334452865352814,0.9686252739114898,2065.971283457624,48224.01996841225,20.507766551354447,-673.0049451719032,19
  7,87156.17700480568,6972.4941603844545,80183.68284442123,-93.58872434716949,120.0495085599039,8.267555880281648,3277.8897220250547,6.425722405765158,596.5684083706119,8.449877437075603,0.06262185455567534,-1256.8736186901172,1.0557481115549328,1.121641764496165,2118.1638378145162,65927.50510828097,150.59738579263063,-1005.1571155012402,14
  8,116905.64807280598,9352.451845824478,107553.1962269815,-57.02344675059926,78.66708596442774,8.453570631209299,3952.981411538546,6.605046363321135,541.0421809535882,8.635892188003254,0.05880402408348989,-1352.8036501840088,1.045175692661514,0.9058195744940225,2544.2629679159318,85903.03314542689,36.54398015078779,-1684.100078229861,17
  9,148739.33075088498,11899.146460070799,136840.18429081418,-234.08947040579181,186.0972220651606,8.710023459103539,5031.416907428791,6.939222763878029,982.7684099258138,8.892345015897492,0.08959109945865908,-1727.2066300418944,1.0342029792410639,1.0442092794998319,2926.0307284170754,115459.11050818444,39.22727393848295,-1822.9530291048998,19
 10,195043.69025802787,15603.49522064223,179440.19503738565,-222.0995593996533,190.96438810881094,9.029970368909304,7482.552610040928,6.76510765995153,2246.0384805469785,9.212291925703258,0.06081260288889404,-2535.944797701426,1.056131281827743,0.955066375721733,3399.6482217388457,146723.843623719,7.845232538255903,-3208.101142156355,19
 11,266746.12898535765,21339.690318828612,245406.43866652902,-405.6849287796,122.41911799132717,9.386354561556312,11125.510539418869,6.683410068767605,3432.9935412691298,9.568676118350266,0.06835383314822446,-3582.733472356909,1.033434220087545,1.1041869382398228,4743.396760226813,192251.7933946462,11.220750008576402,-5536.56256251087,14
 12,374627.3813043706,29970.190504349648,344657.19080002094,-431.38524041467645,104.75092673256995,9.42490359491504,11799.292036621875,6.386732310542373,537.3623792116745,9.607225151708993,0.047788382659497045,-5472.183446752237,1.0521812873069079,0.9303219813534391,6430.28784899992,262857.98808151996,115.96177643477999,-8483.197685042787,18
 13,476067.2686096346,38085.38148877077,437981.88712086383,-599.2108221400147,504.21934000218414,9.791572618090813,14285.296726584114,8.187885895145454,2363.253763229672,9.973894174884768,0.06914078985186087,-5459.991200541489,1.0237185138366447,0.9042987504853975,6925.511348316002,370642.77113626763,2.0594343581571515,-5722.783750159877,23
 14,617317.4706255622,49385.39765004498,567932.0729755173,-651.2084477296162,81.58520721570656,9.87455027156054,17852.34100231658,7.363410745823407,3039.8249357302875,10.056871828354495,0.07188930169784973,-9357.712302536154,1.047665701172132,1.0218053559361855,8148.8404694850915,470385.0661202871,313.4105627558747,-9838.255399226035,15
 15,772349.6753733665,61787.974029869314,710561.7013434971,-827.7411767399765,520.2867278332449,9.936216808088668,17879.584902324837,7.932301161330575,-69.34130720745407,10.118538364882623,0.06026442487400237,-9616.112675949518,1.0540069980807383,0.9636053610893328,9763.53078326458,611892.7754655484,0.0,-11388.101254097199,17
 16,895867.9883670055,71669.43906936044,824198.549297645,-719.9805356426132,750.6262137532331,9.649986673581436,13157.961720825822,7.7679494243316975,-5258.909909332268,9.83230823037539,0.06444321914445927,-9971.464137044613,1.0395716136112525,0.992422673296003,10077.356382266269,766149.146495341,0.0,-9082.919922090741,16
 17,999671.7860694894,79973.74288555916,919698.0431839302,-407.41604016567885,212.39613706109154,9.926972808838272,17491.015318322497,8.00110334031294,3566.4273837434494,10.109294365632227,0.07663835400746004,-7364.680868794125,1.0440771094397716,0.9803493268966019,7794.981545047018,891756.7692244193,9.140853609317247,-5794.315011043382,18
 18,1167089.125020838,93367.13000166706,1073721.9950191712,-813.7395074570658,471.1764775334663,9.66136583539519,13704.190182960037,7.5984105515718925,-4017.221272423553,9.843687392189144,0.06165177962460682,-10669.773756643628,1.0574885494985453,0.8693778007247597,9594.104460933211,992512.593137492,22.480266931859074,-12177.334287302812,22
 19,1282413.8421149561,102593.1073691965,1179820.7347457595,-813.3811586128144,400.26145786504156,10.087551372707622,16669.96945678734,8.905428218716727,2472.6027962938338,10.269872929501577,0.09915999952969265,-7432.314098913512,1.044073220859934,0.9761792767915454,7926.482502812029,1162468.6002459684,0.0,-3030.9672992931214,19
 20,1441999.6051656418,115359.96841325134,1326639.6367523903,-976.9275600757567,130.25989048139792,10.129900736132823,24281.73243460748,6.684789398641264,7192.501519955097,10.312222292926778,0.07625785281347082,-10662.648422859997,1.0667182100051582,1.0287846261500726,9174.894347480524,1276232.127335723,0.0,-12381.127451388827,19
 21,1693713.1181030038,135497.04944824032,1558216.0686547635,-1334.2933844227741,351.0931524186314,10.595030456279153,37086.482758643186,7.954862887851104,12655.490433554329,10.777352013073108,0.06507449913219412,-12064.488162646516,1.0523659499043785,1.0711301126173252,13069.96566804766,1433552.8620016368,0.0,-18799.15818289552,12
 22,2075731.8657197044,166058.54925757635,1909673.316462128,-2035.7576570140466,377.2722372972791,10.341942405691626,29523.738837419107,7.3014577248266415,-7925.837073642723,10.52426396248558,0.06352610575038119,-20399.332290633043,1.0495037582032585,1.0119576534255506,19497.680519695496,1682370.0122710108,6.008914972492278,-31175.98425386771,10
 23,2272307.6986503312,181784.6158920265,2090523.0827583047,-1000.3121255131789,208.85822116884557,11.083736351659029,55187.23814934912,9.201949429481509,25276.22707463274,11.266057908452984,0.050546500071192824,-15136.160817651044,1.0539878896932464,1.0124863409814053,15766.217191587832,2067805.4587469068,0.0,-6953.91914010908,10
 24,2919975.394170563,233598.03153364506,2686377.362636918,-2664.919750583304,109.25868360513144,10.398594732739774,31374.95849378191,7.271372209645528,-24031.137876736084,10.580916289533729,0.0501312947457777,-36608.40528624627,1.0399754872132896,0.956416577640281,28323.728101771972,2253517.9066532254,0.0,-52728.02272871597,15
