# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 Bank02__max_failures_allowed=1 Bank02__sector_A_i0=500 beta=0.02 default_seed=18776 eta=0.2 Firms02__A_i0=1.0 Firms02__K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_Bank02__deposits_and_networth=0 threshold_Bank02_rupt=0 w=1.0
  t,Bank02_L,Bank02_A,Bank02_D,Bank02_PROFITS,Bank02_BD,Firms02_K,Firms02_A,Firms02_L,Firms02_PROFITS,Firms02_Y,Firms02_R,Firms02_I,Firms02_GAMMA,Firms02_U,Firms02_DK,Firms02_OL,Firms02_GAP_OF_L,Firms02_DL,Firms02_FAIL
  0,10005.76669849153,800.4613358793225,9205.305362612207,-6.407157930710407,11.798172856628383,5.258976316676836,104.70285267710483,4.472572064546571,4.702852677104878,5.441297873470791,0.01751633986928109,-712.4183006535953,1.02,0.9797966960537388,-212.41830065359494,6089.106420645452,0.0,-312.4183006535947,27
  1,14568.141250390721,1165.4513000312577,13402.689950359463,-7.447046751943535,4.765747056666691,5.214500856240757,160.27293672300047,3.163238744562808,16.77191118926723,5.3968224130347116,0.004729411764705894,-498.93700560011763,1.0181869281045752,1.0257110216441063,-183.5013395435084,9820.467007577572,0.0,-370.5033906109749,11
  2,18505.150640892523,1480.4120512714019,17024.73858962112,-6.467563304454838,3.0966985874245836,5.276469218333634,185.79874703620192,2.2904124799513155,9.760063256534668,5.458790775127588,0.002007405729741323,-346.7461351494506,1.0051777777777777,0.9972727536561561,-111.81856248089458,14407.141578808669,0.0,-322.33430130391156,5
  3,22239.811865906053,1779.1849492724843,20460.62691663357,-6.111306477534574,0.42147534262300157,5.444058768517546,224.14893329611283,1.9783029789210902,30.253487672486425,5.626380325311501,0.002624290752911119,-309.30600666520183,1.0021315887362772,1.0766478993831974,-89.91063427373365,18350.993280319333,0.0,-301.6628417413194,2
  4,26322.388926463707,2105.7911141170966,24216.597812346612,-6.704357304157498,2.567102217107808,5.575866791486256,255.01307529675788,2.1933498936897315,28.44266665802202,5.75818834828021,0.0019602996135983553,-310.0551021704893,1.0014052399382511,1.0740562786758943,-70.45891454998979,22070.010455422904,0.0,-328.2362706332165,2
  5,30643.26034963102,2451.4608279704817,28191.799521660538,-7.130933312276984,2.287831033154605,5.668791592884714,278.66167055252976,2.3999473222706986,19.08149303866401,5.851113149678669,0.0018830787016071379,-323.31285157054543,1.0011233676309772,1.040391637345394,-52.75326507744933,26145.89143345432,0.0,-345.40896768079864,2
  6,34976.26973190751,2798.101578552601,32178.16815335491,-7.120859645073218,3.7175475486173197,5.80373215027926,318.51689513622904,2.566309631479388,35.5673935505447,5.986053707073214,0.002814506475050098,-335.2103942367925,1.0008053905933463,1.0408337508631962,-39.75028397680459,30465.537578363794,0.0,-345.9345319961045,2
  7,39793.00100279585,3183.440080223668,36609.56092257218,-5.803649198776393,0.0,5.847960205357879,340.2006621743488,1.844692368099857,15.966219489502437,6.030281762151834,0.008008787635500858,-357.15855848718536,1.001227415341481,0.9815561274191719,-20.855138890322003,34782.79967005482,0.0,-386.07833618282206,0
  8,44890.06824040964,3591.205459232771,41298.86278117687,-7.048053707891119,6.222291343211806,5.988162367702665,377.7200512360525,3.0426757565624234,37.51938906170372,6.17048392449662,0.013440408869196103,-376.33168790129866,1.0080087876355008,1.1046050512917713,-29.804872362503858,39589.6067336425,0.0,-385.971754026355,1
  9,50793.23499750138,4063.4587998001102,46729.77619770127,-11.975551314036707,2.0292234577588024,6.015737357239851,386.9692901966319,3.129328591747231,2.026947617367565,6.198058914033805,0.025720569675003545,-416.2833396044334,1.010050658472691,1.0617863485812977,-14.519488476625188,44659.979062107355,2.3060874396316215,-443.65701078713136,3
 10,55932.42678304932,4474.594142643946,51457.83264040537,-4.07385853109679,0.7736545117061773,6.065731813795519,402.3964336898416,3.3478465941499453,10.397920035450941,6.248053370589473,0.02537079386839148,-413.7335028108015,1.0028350241930146,0.9847486731157168,6.497554050504652,50585.77553496224,0.0,-391.1413179131351,1
 11,62771.68577695999,5021.734862156799,57749.95091480319,4.742288044293993,1.0378337723281459,6.094546334590924,411.2566770427048,3.471225568213198,7.086588841156856,6.276867891384879,0.026640703320322517,-455.89528125076123,1.0251735088429221,1.007816855339469,-20.993193419795453,55688.818800075715,0.0,-437.1954081600433,3
 12,69922.29762046713,5593.783809637371,64328.513810829754,-7.348061469024666,12.431055924553906,6.196560579986256,435.25241426478965,4.021859297471786,19.957903449756934,6.378882136780211,0.006244385437776015,-470.76805126251884,1.0262546918647752,1.0585974866254608,-13.110817974861122,62523.195748468366,0.0,-439.3658470968963,3
 13,76097.15192475246,6087.772153980197,70009.37977077226,-9.820654965288439,5.33210783184278,5.971064836084411,348.87582271504493,3.7622915997739255,-101.80764747429866,6.153386392878366,0.0032665908377702215,-477.8215688850131,1.0053809226286756,0.8427368647142239,26.216743625701906,69670.00613437188,0.0,-468.42168272344327,3
 14,80718.72482574957,6457.497986059965,74261.2268396896,-6.18745057678011,4.6646574418652476,6.032679226832608,312.7500875599693,4.645162044726451,-44.45784298691848,6.215000783626562,0.01908096371418394,-417.90650453282274,1.0030144251040438,0.9515399115327484,-11.997585708028621,75919.72165848048,0.0,-276.56097729455144,5
 15,85228.85059410823,6818.308047528658,78410.54254657957,-3.303977310721274,0.5903436206064485,6.071219388981713,382.9118643625063,3.9179403648126487,60.49711936067187,6.253540945775668,0.008252571715172968,-406.41404875222554,1.0035612692037852,1.0291827203873785,-31.479562140682578,80544.61471732262,0.0,-324.1222914480551,1
 16,91228.67992123221,7298.294393698577,83930.38552753362,-9.624453369542422,1.0390838903543553,5.760669669396958,299.8877617106244,2.872046926046391,-84.61444627248844,5.942991226190912,0.0010555489883543778,-452.4603970676877,1.00827740831648,0.955512298798413,-14.537261001061065,84988.78244751891,0.0,-461.12693196545206,2
 17,94826.99893500977,7586.159914800783,87240.839020209,-4.085202951342328,17.08626332928374,6.023442492109938,355.9133445054771,4.0445334819420005,52.98649890449834,6.205764048903892,0.03778099415142098,-352.9056267797871,1.0009121705072686,1.044377984157188,-30.296703370195495,91069.71977317042,0.0,-253.2645884489293,1
 18,102285.22777387599,8182.818221910079,94102.4095519659,-9.878596640839717,3.177305119280086,5.7284835602883994,301.99721298911174,1.705728063235091,-72.00239484564904,5.9108051170823535,0.0010579871735841965,-458.75372200345737,1.0344070313383273,0.9698533451627922,-46.17027365695767,94576.93335932096,0.0,-491.5017899177454,2
 19,106414.50675148198,8513.160540118559,97901.34621136342,8.316178889136609,0.8789524319143296,5.909600733269654,319.10604304944525,3.9010213008703376,11.9315249410535,6.091922290063609,0.009803524980254238,-350.91691880306786,1.0014579871735843,1.0011359276810363,-30.23700821238786,102133.15798777583,0.0,-274.5474165854438,1
 20,111871.41510542574,8949.71320843406,102921.70189699168,-6.1979345520932565,4.702020580142861,5.912554385907406,329.14396084628527,3.7014307628152605,8.15896536492585,6.094875942701361,0.005789151214558528,-425.1396016602442,1.0098283615815615,0.9826563987743842,-51.57749352902929,106234.53727320531,0.0,-386.37296638335687,3
 21,116476.27452493882,9318.101961995106,107158.17256294371,-25.377358342286463,18.697456235686943,5.983793342378415,367.65610587319827,3.377148910417892,30.810124446769805,6.16611489917237,0.061632428377443524,-415.29449178591585,1.005777935323222,1.0380171656928778,-32.89570727338581,111687.7820422311,0.0,-389.0947234879359,5
 22,121906.39053881812,9752.51124310545,112153.87929571267,-7.937952728040966,5.951577026546875,6.018594744834763,392.82356688461266,2.9001604742054528,1.4700047757275347,6.200916301628717,0.005214045942537099,-406.04825136758416,1.0018530105936931,1.0363051981062135,10.047510303260932,116295.07068256334,0.0,-433.81724864837753,4
 23,127304.23724417842,10184.338979534274,117119.89826464414,-6.214793678176298,3.282549371851848,6.0264333776690355,379.3598681966343,3.551773212189493,-23.415275714525308,6.2087549344629895,0.008370213417936718,-419.8152471692305,1.0035083919504664,0.9587494599622151,9.618803297993704,121737.8437626236,0.0,-406.9877157086494,3
 24,132072.13991620592,10565.771193296474,121506.36872290945,-7.730238133783074,4.121882072487013,6.190191184844408,476.8413241775556,2.4067702944043976,91.19890660906947,6.372512741638363,0.014916618340253963,-431.5957403673623,1.006072705701435,1.01934903957606,-9.251484165579377,127155.90778949486,0.0,-379.3441668468868,2
 25,138540.75142214762,11083.260113771808,127457.49130837581,-10.694461870502295,5.603951132511403,6.139745281509001,451.49417984476804,2.5210137902047856,-31.469026405274512,6.322066838302955,0.0017024539932047435,-437.3688981677003,1.0016147386325331,0.9255471333666261,56.985670041858015,131849.73874172918,0.0,-522.3809880977096,2
 26,143473.27521281003,11477.862017024803,131995.41319578522,-6.6885538712231805,5.310036480634164,6.217174816012692,482.3416119645617,2.941455335183537,23.243480987282215,6.399496372806646,0.005835895182459023,-423.7795682504679,1.0009975610130426,0.9702489885776753,47.51280997537979,138391.03125799683,0.0,-389.21551792273505,3
 27,149848.16756286044,11987.853405028836,137860.3141578316,-10.536769334956904,13.399841084629264,6.561022837415557,654.7917037047289,3.95513539733707,164.14005525953314,6.743344394209512,0.010734430825332084,-459.57345658207606,1.0047691274176993,1.028754692370116,51.005552302745684,143263.86529214587,0.0,-478.5509312993799,2
 28,158883.59053017347,12710.687242413878,146172.9032877596,-15.016362161159043,11.12276801603443,5.940219501320407,334.56521342315483,3.8166814978503947,-335.62633136620326,6.122541058114361,0.0044954132925131545,-537.396699338325,1.001873453368392,1.0001535623369295,149.34066906530515,149614.60798554932,0.0,-704.4102810506721,3
 29,161792.9477719216,12943.435821753728,148849.5119501679,-7.4879975883731955,134.63322156182792,6.189782676438098,149.0891891945865,5.824969807145367,-199.59879224460275,6.372104233232052,0.0027004316929558876,-379.9662187479112,1.0014687539807887,1.0507298309954334,-9.76842183532413,158604.58590870447,0.0,-38.15889913827702,5
 30,165999.88780265345,13279.991024212277,152719.89677844118,-6.756366831669934,2.9523163771212086,5.703519495984682,272.23474927739977,3.3209401438140245,-16.48766147901456,5.885841052778637,0.004097789949400862,-349.63721091572296,1.0013503267973856,0.9994716611941561,-39.16316617238032,161609.35528214733,0.0,-322.4512985944141,2
 31,170057.38043840596,13604.590435072478,156452.79000333347,-3.91032178462231,21.45776958381311,5.756248454566539,276.10921237750614,3.690148655115456,-1.077853277015015,5.938570011360494,0.014788311463077694,-356.774406434197,1.0021329549031357,0.9657068917673001,-48.12187130445074,165792.1687049606,0.0,-313.07912451800706,3
 32,175350.63477856675,14028.05078228534,161322.5839962814,-8.267591209038326,2.9329990936140344,5.827382603556325,306.68782956998433,3.489853982926679,6.120847608665126,6.009704160350279,0.004818874539257755,-395.0349013942375,1.0119342647572929,0.9996110511641007,-65.08417596602973,169845.18190349475,0.0,-388.2394034542977,2
 33,179833.55275255823,14386.68422020466,165446.86853235358,-7.668921379930871,0.6958735036762633,5.791873446040513,316.32973738023236,2.42449316322134,4.708908716634151,5.974195002834468,0.020863190444465017,-363.1154432852553,1.0023425304384346,1.0351054143406748,-31.48369628374205,175161.830437491,0.0,-355.90453587446956,2
 34,184329.25943793234,14746.340755034587,169582.91868289775,-6.212396396690363,0.6124771539885896,5.723945855063077,291.2807138126096,2.6966316942754633,-27.744897071299107,5.906267411857032,0.020438560657345325,-362.85215053449355,1.0021092922748538,0.9384417421193745,-26.634210730149103,179640.93027894903,0.0,-352.07754839138,1
