# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 BankZ_max_failures_allowed=1 BankZ_sector_A_i0=500 beta=0.02 default_seed=17833 eta=0.9 FirmsZ_A_i0=1.0 FirmsZ_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_BankZ_deposits_and_networth=0 threshold_BankZrupt=0 w=1.0
  t,BankZL,BankZA,BankZD,BankZPROFITS,BankZBD,FirmsZK,FirmsZA,FirmsZL,FirmsZPROFITS,FirmsZY,FirmsZR,FirmsZI,FirmsZGAMMA,FirmsZU,FirmsZDK,FirmsZOL,FirmsZGAP_OF_L,FirmsZDL,FirmsZFAIL
  0,13014.398579300538,1041.151886344043,11973.246692956494,-10.82352941176472,0.024584244190364757,4.627275310617168,102.2351253117808,nan,2.235125311780821,4.8095968674111225,0.0,-941.1764705882343,1.02,1.021912993252753,-441.17647058823604,5982.112944448495,0.0,-541.176470588236,2
  1,19697.325971149672,1575.7860776919738,18121.5398934577,-10.906484097136653,0.0,4.632774809336129,102.79891611490272,nan,-1.4607934410684176,4.815096366130085,0.0,-549.0644953008615,1.0004,0.9998510189598043,-436.8047857448901,12746.89521795809,0.0,-545.3242048568327,0
  2,26297.963501589253,2103.8370801271403,24194.12642146211,-10.776551070105436,0.0,4.558922846058459,95.48057713899023,nan,-7.31833897591253,4.741244402852414,0.0,-540.2883469463402,1.0,0.9316523043851221,-437.4894308314374,19437.68462013286,0.0,-538.8275535052718,0
  3,32782.021272999526,2622.561701839962,30159.459571159565,-10.586216769649427,0.0,4.685367945650717,108.35013193444595,nan,12.869554795455691,4.867689502444672,0.0,-536.629177458384,1.0,1.068849789155943,-441.1486003193936,26041.36203232066,0.0,-529.3108384824714,0
  4,39592.20676623123,3167.3765412984985,36424.83022493273,-11.11867019303135,0.0,4.60887597058888,100.371265951023,nan,-7.978865983422889,4.791197527382835,0.0,-543.0639548561118,1.0,0.9854920722562927,-434.71382292166584,32505.133743513565,0.0,-555.9335096515675,0
  5,46098.12855077321,3687.8502840618567,42410.27826671135,-10.621913117619545,0.0,4.57086805792711,96.6279520373552,nan,-3.74331391366785,4.753189614721065,0.0,-539.0745218644005,1.0,0.9467059923995161,-438.7032559133772,39332.44849239904,0.0,-531.0956558809772,0
  6,52633.00805044847,4210.640644035878,48422.367406412595,-10.669191019877974,0.0,4.662160301783692,105.86453464767953,nan,9.23658261032438,4.844481858577647,0.0,-537.2028649075664,1.0,1.042385146722767,-440.5749128702112,45827.029235249414,0.0,-533.4595509938987,0
  7,59383.46535103091,4750.6772280824725,54632.788122948434,-11.021154776461062,0.0,4.660386096992976,105.67687580497567,nan,-0.1876588427038995,4.842707653786931,0.0,-541.8211562127284,1.0,1.0304561120782079,-435.9566215650492,52360.45588911998,0.0,-551.0577388230531,0
  8,66017.32628340222,5281.386102672177,60735.94018073004,-10.830793358973452,0.0,4.626646627345724,102.1708719983513,nan,-3.506003806624363,4.808968184139679,0.0,-541.7273267913764,1.0,0.9926755192251487,-436.05045098640113,59118.45387103126,0.0,-541.5396679486726,0
  9,72589.06321664983,5807.125057331986,66781.93815931784,-10.7293664216288,0.0,4.632400660660648,102.76046123096792,nan,0.5895892326165819,4.814722217454602,0.0,-539.9743248880644,1.0,1.002358519166522,-437.8034528897134,65757.27791343008,0.0,-536.46832108144,0
 10,79214.58239867793,6337.166591894234,72877.4158067837,-10.817174174739788,0.0,4.709151888464947,110.95801521613241,nan,8.197553985164475,4.891473445258902,0.0,-540.2691195043728,1.0,1.0792389214155007,-437.50865827340505,72330.18963684796,0.0,-540.8587087369895,0
 11,85983.50916708386,6878.680733366708,79104.82843371715,-11.05130900964239,0.0,4.688941778247033,108.73804993187738,nan,-2.2199652842549993,4.871263335040988,0.0,-544.3678964969548,1.0,1.0486752431928839,-433.4098812808228,78943.91071366852,0.0,-552.5654504821194,0
 12,92611.22403707336,7408.897922965869,85202.32611410749,-10.820758971411449,0.0,4.591726265176183,98.66460450754636,nan,-10.07344542433099,4.774047821970138,0.0,-543.2579138548274,1.0,0.9607824885353035,-434.5198639229501,85719.47728368567,0.0,-541.0379485705724,0
 13,99081.03392212288,7926.48271376983,91154.55120835305,-10.562954914366621,0.0,4.688278448441432,108.66594465978656,nan,10.001340152240198,4.870600005235387,0.0,-538.2211911426621,1.0,1.070971651065669,-439.5565866351156,92347.94821042987,0.0,-528.1477457183311,0
 14,105858.01813891793,8468.641451113435,97389.3766878045,-11.064464027420447,0.0,4.562946473724149,95.86552936356206,nan,-12.800415296224498,4.745268030518104,0.0,-543.2218612187822,1.0,0.9295091491350573,-434.55591655899553,98801.23493461142,0.0,-553.2232013710224,0
 15,112277.27830777985,8982.182264622388,103295.09604315746,-10.48042476548891,0.0,4.5071197991800975,90.6603221760584,nan,-5.20520718750366,4.689441355974052,0.0,-536.8216535706699,1.0,0.8957916000243451,-440.95612420710796,105593.80146642867,0.0,-524.0212382744455,0
 16,118757.69788195025,9500.61583055602,109257.08205139423,-10.580276855788288,0.0,4.649987454349721,104.58367349869114,nan,13.923351322632694,4.832309011143675,0.0,-534.2190499769181,1.0,1.0397623073622324,-443.55872780085974,112013.40248732953,0.0,-529.0138427894144,0
 17,125557.7228247209,10044.617825977672,115513.10499874322,-11.102081539217338,0.0,4.709558195181654,111.00310736298785,nan,6.419433864296777,4.891879751975609,0.0,-541.1807256382344,1.0,1.0814721902249886,-436.5970521395433,118479.37289430528,0.0,-555.1040769608669,0
 18,132305.14381104568,10584.411504883656,121720.73230616203,-11.016197528693592,0.0,4.712839594966236,111.36795120745919,nan,0.3648438444712211,4.89516115176019,0.0,-544.3904425703829,1.0,1.0768614926441613,-433.3873352073949,125284.88946940908,0.0,-550.8098764346796,0
 19,138980.630738175,11118.450459054002,127862.180279121,-10.898754166741787,0.0,4.589549119062186,98.45003091104554,nan,-12.91792029641358,4.77187067585614,0.0,-544.5728644926182,1.0,0.9582230038150067,-433.2049132851592,132035.34382655713,0.0,-544.9377083370894,0
 20,145414.28154276306,11633.142523421044,133781.13901934202,-10.503919680959953,0.0,4.656156491320969,105.23084821701526,nan,6.780817305969735,4.838478048114923,0.0,-538.1139043444115,1.0,1.0394838223104454,-439.6638734333661,138734.35086568448,0.0,-525.1959840479976,0
 21,152130.77438897925,12170.461951118341,139960.3124378609,-10.965702606067325,0.0,4.644784067499014,104.04089754847881,nan,-1.1899506685364152,4.827105624292969,0.0,-541.5043129973966,1.0,1.0143215923264022,-436.2734647803813,145147.22818264147,0.0,-548.2851303033663,0
 22,158742.33687966305,12699.386950373044,146042.94992929001,-10.794387739891834,0.0,4.58128483122526,97.63976426808152,nan,-6.4011332803973024,4.763606388019215,0.0,-540.9093376631283,1.0,0.9484082606280761,-436.86844011464933,151858.62149304576,0.0,-539.7193869945917,0
 23,165250.8554420091,13220.068435360728,152030.78700664837,-10.626152754850644,0.0,4.636950723144164,103.22909309402354,nan,5.589328825941981,4.819272279938118,0.0,-537.7087710229297,1.0,1.0121122636221604,-440.0690067548479,158490.87960844574,0.0,-531.3076377425322,0
 24,171940.49180421664,13755.239344337331,158185.2524598793,-10.921855285236848,0.0,4.6006666891423125,99.55066286903319,nan,-3.678430224990368,4.7829882459362665,0.0,-540.5034354359008,1.0,0.9708285962609849,-437.27434234187706,164978.76353096202,0.0,-546.0927642618424,0
 25,178494.0677329221,14279.525418633768,164214.54231428832,-10.699715801968303,0.0,4.626495876011462,102.15547076398231,nan,2.6048078949492,4.808817432805417,0.0,-538.6642203234054,1.0,0.9969853297002625,-439.1135574543722,171677.76858873208,0.0,-534.9857900984151,0
