# experiment2.py N=100 T=1000 alpha=0.08 b=0.03 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=9861 eta=0.0001 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,5198.158636879894,415.85269095039155,4782.305945929503,-1.4210854715202004e-14,84.14730904960847,6.459600466906207,199.96587956652345,6.0841346585438885,99.96587956652337,6.641922023700162,0.08776798039215696,38.83990196078465,1.02,1.0046853961913393,538.8399019607847,6201.436473014713,0.0,438.83990196078463,37
  1,7793.128826606842,623.4503061285474,7169.678520478295,-5.959772997895659,32.2316248693554,6.496559855649924,418.3489930918608,5.499249615289577,97.23580447572894,6.67888141244388,0.06588268670590929,-235.26932625624826,1.0626938276470588,1.0250869845162662,510.31300059517815,5070.79817402892,0.0,-31.913376637085687,19
  2,10522.910334566464,841.8328267653172,9681.077507801147,-9.86989890745815,55.336623280009526,6.775910896670176,615.9221307766898,5.562814927281394,146.34151281547346,6.95823245346413,0.07598923890352781,-69.26568262324282,1.0556289687050775,0.9964457576794672,648.6399812688213,7649.937437441192,21.206149359745993,17.41696847541614,21
  3,15601.853320120403,1248.1482656096323,14353.70505451077,-7.856666618132552,33.64390475508407,7.07138312129211,910.7911837527349,5.587191471012792,218.53242969603568,7.253704678086065,0.03936682265915492,-179.9648829079095,1.0492069260414751,1.0396390493509369,767.1262202320717,10291.46901212463,3.2964849173540083,-158.4093656378528,16
  4,22784.581766314,1822.76654130512,20961.815225008882,-7.316389236332039,38.38971241361958,7.257813132721934,1117.9608509812983,5.707737305166326,157.52576247347938,7.44013468951589,0.036921289043992826,-289.038457294837,1.0336861659086725,0.9442396874818502,928.7093201840269,15260.743662141,0.0,-322.4172290953871,15
  5,31337.295757742195,2506.9836606193758,28830.31209712282,-17.04239227553626,39.19497710371455,7.441664981699593,1329.143070877161,5.930770784585078,157.79250748224317,7.623986538493548,0.05676703283917814,-420.8125716550359,1.0305223710632536,0.9625060904253532,1041.0827989474144,22425.641279594467,11.614035676249573,-364.81890789729096,15
  6,42844.4679925525,3427.5574394041996,39416.9105531483,-30.89529745701885,103.31202358608941,7.598738264314921,1543.1041212833545,6.114947239099894,159.7660733024793,7.781059821108876,0.04996636769234685,-616.4027186112419,1.0496530207524932,0.9073959131250496,1107.3612658411002,30824.53789840121,46.88367920171061,-547.7481915452886,20
  7,55982.069745983674,4478.565579678694,51503.50416630498,-32.18709427533876,44.22441833623919,7.853991088035629,2157.371779641164,6.036970921857073,490.9556347717194,8.036312644829584,0.05459009267680854,-724.2875819400091,1.0307875793052832,1.0411020825615975,1290.1547696897148,42288.92392867404,0.0,-692.6776231948138,16
  8,75653.08782780128,6052.247026224102,69600.84080157719,-35.06166922712815,57.74381035829872,8.004695890854338,2648.6682299497406,5.847365885859165,431.0720319723377,8.187017447648293,0.03523172955727549,-1047.522382860216,1.0408278208436403,0.9922167534507457,1546.0100789247128,55089.31267479266,0.0,-1251.1647262391743,15
  9,100251.13171835408,8020.090537468327,92231.04118088576,-88.9633118653772,35.87400773392092,8.30417972465304,3381.5299562479095,6.491021386899256,660.11791593987,8.486501281446992,0.05654240817136841,-1222.5860034887253,1.0280273381501033,1.049813854837687,1825.3779154604727,74696.67475712107,28.357210063778663,-1446.497179898659,14
